name,slug,one_liner,long_description,website,batch,industry,subindustry,tags,team_size,status,stage,relevance_score,matched_keywords
Alter,alter,Secure access control and authorization platform for agent workflows,"Alter is a zero-trust identity and access control platform purpose-built for AI agents. It wraps every tool call in strong authentication, fine-grained authorization, and real-time guardrails, so agents can move fast without breaking things.

Each request is verified at the parameter level, authorized against granular policies, executed with least-privilege access, and fully audited in real time. Unsafe actions, whether it’s a rogue DROP TABLE or a payment above policy limits, are blocked before they touch production. Behind the scenes, Alter manages credentials, issuing ephemeral, scope-narrowed access for every interaction, then rotating or expiring it in seconds. The result: no long-lived secrets, no blind spots, and no surprises in audit.

With Alter, teams can move fast on AI agent initiatives while staying fully compliant with SOC 2, HIPAA, GDPR, and internal security standards. A CISO-ready dashboard delivers real-time visibility, detailed audit logs, and compliance-ready controls, removing silos, eliminating excessive permissions, and providing complete oversight of every agent workflow.",https://alterai.dev,Summer 2025,B2B,B2B -> Security,AIOps; Artificial Intelligence; Developer Tools; DevSecOps; Security,2,Active,Early,62,T1:for ai agents; T1:agent workflow; T1:identity.*agent; T1:agent.*identity; T2:\bguardrail; T4:\bplatform\b; T4:\bdeveloper tool; T4:\bpayment; T4:\bidentity\b; T4:\bauth
Orthogonal,orthogonal,Agentic Payments for APIs,"APIs weren’t built for agents. Orthogonal fixes that. Developers and agents get instant access to hundreds of APIs through our MCP or SDK. No API key management, no billing headaches, pay as you go. API providers list once and become instantly discoverable.",https://orthogonal.com,Winter 2026,B2B,B2B -> Infrastructure,Artificial Intelligence; Crypto / Web3; Payments; API,2,Active,Early,57,T1:for agents; T1:agentic payment; T1:payments.*agent; T1:agent.*payment; T2:\bagentic\b; T2:\bmcp\b; T4:\binfrastructure\b; T4:\bapi\b; T4:\bsdk\b; T4:\bpayment
Protegee,protegee,Payments API for AI Agents,"We’re excited to launch our first product that allows your AI voice agents to accept payments easily and securely over the phone. We manage compliance, security, and fraud, letting you focus on creating great experiences.  


We are setting the stage for the agentic economy, starting with voice payments. Web and agent-to-agent transactions coming soon.",http://protegee.ai,F24,Fintech,Fintech -> Payments,Artificial Intelligence; Fintech; Payments; Infrastructure,2,Active,Early,52,T1:for ai agents; T1:agent-to-agent; T1:payments.*agent; T1:agent.*payment; T2:\bagentic\b; T4:\binfrastructure\b; T4:\bapi\b; T4:\bpayment; T4:\bcompliance\b
Castari,castari,Vercel for AI Agents – One click deploy for the Claude Agent SDK,"Castari lets developers deploy AI agents in secure, autoscaling sandboxes with one command. We handle tool/MCP connectors, snapshots, and observability so teams go from prototype to production in hours instead of weeks.

Developers focus on building agents, Castari provides the autoscaling sandbox infrastructure to ensure your agents and its tools are secure.",https://castari.com,Fall 2025,B2B,B2B -> Infrastructure,,3,Active,Early,44,T1:for ai agents; T1:vercel for ai agent; T1:agent sdk; T2:\bmcp\b; T4:\binfrastructure\b; T4:\bsdk\b; T4:\bdeploy; T4:\bobservab; T4:\bsandbox\b
Dedalus Labs,dedalus-labs,Connect any LLM to any MCP tools and create complex agents in minutes.,"Dedalus Labs is building Vercel for AI Agents. We host MCP servers on our cloud and handle the boring stuff like autoscaling and load balancing so users can go from idea to production in a single click. Our OpenAI-compatible SDK lets users orchestrate complex agentic workflows through one clean API. Route between any LLM provider, connect any MCP tools from our hosted marketplace, and ship in minutes.",https://www.dedaluslabs.ai/,Summer 2025,B2B,B2B,Developer Tools; Workflow Automation; DevOps; AI,9,Active,Early,43,T1:for ai agents; T1:vercel for ai agent; T2:\bagentic\b; T2:\bmcp\b; T2:\borchestrat.*ai\b; T2:\bai.*orchestrat; T4:\bdeveloper tool; T4:\bapi\b; T4:\bsdk\b; T4:\bworkflow\b
Multifactor,multifactor,"Zero-trust authentication, authorization, and auditing for AI agents","The agentic era is here, but its foundation is dangerously insecure. A growing number of high-profile ""AI agent gone rogue"" security incidents make headlines each week.

As enterprise adoption of agentic software has far outpaced the development of applicable cybersecurity solutions, CISOs have loudly voiced a growing need for verifiable, fine-grained security controls on complex multi-agent systems. That's why we built Multifactor.

Multifactor offers best-in-class authentication, authorization, and auditing technologies for agentic systems, allowing users to securely and revocably share online accounts with agents while maintaining fine-grained permissions and a detailed event history. We are doing for AI security what Cloudflare did for web security, Okta did for identity security, and Wiz did for cloud security: defining the category.

A world-class ""account manager"" that allows agents to securely use online accounts on your behalf is just the start—our early enterprise partners include companies using AI agents to manage $7.5+ billion manufacturing supply chains, where the consequences for lapses in security are severe. Our patented AI security technology seamlessly integrates with existing agentic software to thwart attacks like prompt injection, so CISOs and end users alike can breathe a sigh of relief, without slowing the pace of AI adoption.",https://multifactor.com,Fall 2025,B2B,B2B -> Security,Artificial Intelligence; Security; Cryptography; Cybersecurity; AI,2,Active,Early,40,T1:for ai agents; T1:multi-agent; T1:agent.*identity; T2:\bagentic\b; T4:\bidentity\b; T4:\bauth; T4:\btrust\b
Blaxel,blaxel,AWS for AI Agents,"Blaxel is a cloud infrastructure to power AI agents. Our platform gives AI companies the toolbox and infrastructure to build and deploy agents efficiently. 

Billions of agents, tools, and models will transform how we work in the coming years. Traditional cloud providers weren't designed to handle them—their one-size-fits-all architecture holds them back. We fixed that with Blaxel.

What is it? A complete computing platform with:

- all services for developers to fast-track deploying agents without reinventing the wheel — like framework-agnostic serverless deployments, an AI gateway for model routing and fallback, and custom MCP server hosting.
- a flexible low-level API for builders to ship really performant agentic AI using our backbone infrastructure — using services like sandboxed VMs usable by agents, a programmable global gateway, and a 20ms-latency serverless compute engine.
- and a seamless developper experience that integrates with their CI/CD, and APIs that can even be consumed by agents themselves!",https://blaxel.ai,X25,B2B,B2B,AIOps; Infrastructure,6,Active,Early,40,T1:for ai agents; T1:aws for ai agent; T2:\bagentic\b; T2:\bmcp\b; T2:\bai gateway\b; T4:\binfrastructure\b; T4:\bplatform\b; T4:\bapi\b; T4:\bframework\b; T4:\bdeploy
Locus,locus,Payment infrastructure for AI agents,"We make your agents pay.

As agents evolve from tools into dependable, autonomous actors, they’ll need the ability to execute open-ended workflows end-to-end.

This inevitably means payments: accessing paywalled data, transacting for services or with other specialist agents. But autonomy requires guardrails. Businesses and developers will need a way to ensure their agents only spend how much and on what they’re supposed to.

The machine economy is coming, and Locus (YC F25) is building the connector businesses will need to participate. We connect agents securely to funds, letting you define permissions and limits for every transaction. Each payment is traceable, auditable, and fully reconcilable with your existing financial stack.",https://paywithlocus.com,Fall 2025,B2B,"B2B -> Engineering, Product and Design",Finance; AI,2,Active,Early,38,T1:for ai agents; T1:payments.*agent; T1:agent.*payment; T2:\bguardrail; T4:\binfrastructure\b; T4:\bpayment
Zavo,zavo,AI Point of Sale for Restaurants ,"Zavo is the first AI-point of sale platform for restaurants.

We unify payments, point of sale, and AI agents into one seamless platform, allowing business to accept payments, manage operations and automate manual processes with Ai. 

From reservations, to payments to point of sale, we have built the full restaurant tech stack in-house with AI automation across all products.

We started Zavo in May 2025, currently over 400 businesses of different sizes use Zavo to accept payments and manage operations

",https://zavopay.com,Fall 2025,Fintech,Fintech -> Payments,Artificial Intelligence; Fintech; Payments; B2B; Restaurant Tech,8,Active,Early,27,T1:payments.*agent; T1:agent.*payment; T4:\bplatform\b; T4:\bpayment; T4:\bautomation\b
Truffle AI,truffle-ai,AWS for AI Agents,Truffle AI makes it easy for developers to integrate AI agents into any software application. We do this by exposing agents as simple APIs that can be called from anywhere. Developers have used Truffle to add customer support agents into WhatsApp and analytics agents into Slack.,https://www.trytruffle.ai/,W25,B2B,"B2B -> Engineering, Product and Design",Developer Tools; Generative AI; Infrastructure; AI; AI Assistant,2,Active,Early,25,T1:for ai agents; T1:aws for ai agent; T4:\binfrastructure\b; T4:\bdeveloper tool
